t,x,y,th,v,omega,acc,gamma
30.9,60.89,87.921,0.5405,3.1467,-0.065941,-0.14482,-0.40931
31,61.023,87.772,0.30203,3.1323,0.5428,0.14483,-0.39049
31.1,61.157,87.624,0.14697,3.1015,0.35297,0.30753,0.12177
31.2,61.29,87.475,0.29137,3.1327,-0.32868,-0.31234,0.43726
31.3,61.424,87.326,0.57553,3.1965,-0.64682,-0.63795,0.20408
31.4,61.558,87.177,0.096401,3.1591,1.0906,0.37396,-1.1145
31.5,61.691,87.028,0.3839,3.1147,-0.65441,0.44427,1.1194
31.6,61.825,86.879,0.39269,3.062,-0.020018,0.52709,-0.40694
31.7,61.958,86.73,0.19933,3.1063,0.44013,-0.44247,-0.29517
31.8,62.092,86.582,0.47664,3.1567,-0.6312,-0.50487,0.68722
31.9,62.226,86.433,0.29352,3.117,0.41682,0.39748,-0.67227
32,62.359,86.284,0.33665,3.1368,-0.098168,-0.19767,0.33035
32.1,62.493,86.135,0.47933,3.1317,-0.32477,0.050948,0.14536
32.2,62.626,85.986,0.3477,3.1746,0.29962,-0.42905,-0.40053
32.3,62.76,85.837,0.42085,3.1193,-0.16651,0.5532,0.299
32.4,62.893,85.689,0.081835,3.12,0.77167,-0.0078119,-0.60181
32.5,63.027,85.54,0.055786,3.0867,0.059292,0.33356,0.45697
32.6,63.161,85.391,0.42243,3.0279,-0.83456,0.58783,0.57338
32.7,63.294,85.242,0.041162,3.0137,0.86785,0.14145,-1.092
32.8,63.428,85.093,0.10588,2.9995,-0.1473,0.14216,0.65118
32.9,63.561,84.944,0.26784,2.9587,-0.36866,0.40809,0.14199
33,63.695,84.795,0.2063,3.0242,0.14007,-0.65488,-0.32633
33.1,63.829,84.647,0.23472,2.9764,-0.06468,0.47842,0.13134
33.2,63.962,84.498,0.33213,3.0333,-0.22172,-0.56887,0.10074
33.3,64.096,84.349,0.27049,3.0143,0.14029,0.18993,-0.23222
33.4,64.229,84.2,0.1423,2.972,0.2918,0.42296,-0.097184
33.5,64.363,84.051,0.2518,2.9636,-0.24925,0.083798,0.34706
33.6,64.496,83.902,0.057172,2.9765,0.44301,-0.12902,-0.44406
33.7,64.63,83.753,0.09235,2.9593,-0.080073,0.17231,0.33554
33.8,64.764,83.605,0.12018,2.9788,-0.063345,-0.19555,-0.01073
33.9,64.897,83.456,0.19335,2.983,-0.16654,-0.042015,0.066198
34,65.031,83.307,0.02985,2.9272,0.37215,0.55826,-0.34555
34.1,65.164,83.158,0.21635,2.907,-0.42452,0.20224,0.51104
34.2,65.298,83.009,0.067858,2.9259,0.33801,-0.18966,-0.48914
34.3,65.431,82.86,0.14817,2.8995,-0.1828,0.26384,0.33408
34.4,65.565,82.712,0.11732,2.9155,0.070226,-0.15931,-0.16231
34.5,65.699,82.563,0.19914,2.8952,-0.18626,0.2027,0.16453
34.6,65.832,82.414,0.094907,2.9256,0.23726,-0.30355,-0.27167
34.7,65.966,82.265,0.17303,2.9731,-0.17782,-0.4753,0.26626
34.8,66.099,82.116,6.0468e-05,2.9608,0.39371,0.12267,-0.36662
34.9,66.233,81.967,0.053629,2.961,-0.12193,-0.0021245,0.33077
35,66.367,81.818,0.026215,2.9279,0.062401,0.33147,-0.11824
35.1,66.405,81.935,0.15246,2.9358,-0.28736,-0.079183,0.22436
35.2,66.444,82.051,0.033318,2.9446,0.27119,-0.087536,-0.35829
35.3,66.482,82.167,0.10109,2.9552,-0.15426,-0.10626,0.27291
35.4,66.521,82.283,0.13638,2.938,-0.08034,0.17168,-0.047418
35.5,66.559,82.4,0.056758,2.9258,0.18125,0.12244,-0.1678
35.6,66.598,82.516,0.0153,2.9277,0.094367,-0.019604,0.05573
35.7,66.636,82.632,0.11863,2.9137,-0.23521,0.1401,0.21141
35.8,66.675,82.748,0.11644,2.9323,0.0049972,-0.18554,-0.15409
35.9,66.714,82.864,0.09311,2.9374,0.053103,-0.05112,-0.030858
36,66.752,82.981,0.013116,2.9379,0.18208,-0.0047973,-0.082737
36.1,66.791,83.097,0.022525,2.9215,-0.021418,0.16379,0.13054
36.2,66.829,83.213,0.12469,2.9239,-0.23255,-0.024298,0.13543
